,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
4018,SEQL3,2022-06-30,0.1939542719951885,0.4333540846260634,1.0,2281.942024974599,2328.5358141013658,1781.1425292688575
57191,AURA33,2022-07-29,0.2280656760810996,0.3333258140181047,0.6999912516156302,3422.9261644748062,2059.777060941636,1801.9973713507525
13534,JHSF3,2022-08-31,0.1787919945021004,0.449996008020737,0.7777699184510488,2332.3917647851176,2593.5926684228525,2227.1646109360813
8483,CASH3,2022-09-30,0.2367795209158437,0.0833251966994745,0.7999664095855882,37872.3015003804,4866.3109756490185,5305.632146346639
22143,OPCT3,2022-09-30,0.2209666331867199,0.416671502670474,0.760000508786956,867.8076524813092,719.6100570833878,555.2033880409808
31333,VULC3,2022-09-30,0.1738508492690451,0.4166654522018769,0.9599978803507186,1155.9788501752337,1255.5588991703232,1033.3000225369442
42279,MDNE3,2022-09-30,0.2472645006507605,0.3333294428490693,0.8500039232112153,541.5387446676336,264.3677807066141,285.1526432574259
46218,INEP3,2022-09-30,0.2354693210348124,0.2166689834977214,0.8461487806109111,1247.3616937892543,523.1987809121831,354.3064914263689
47511,RCSL3,2022-09-30,0.2311850591483464,0.38333040741928,0.95652088861573,679.7382032926985,555.8693679340057,310.6474600006536
74036,ALLD3,2022-09-30,0.1792694055049125,0.1999991251637783,0.7499979774839765,259.92654211584664,130.4455432672703,107.55238135612898
74521,TECN3,2022-09-30,0.2871809766750273,0.3333368731980574,0.9000007466679598,806.7856392746305,378.0619542884566,289.45934804394466
79327,NGRD3,2022-09-30,0.2132176472599364,0.283333752942179,0.8823462788244374,1108.667631441434,640.7229630453767,518.4043667496755
86399,VIVR3,2022-09-30,0.2334477091775793,0.116662778341717,0.7142909757163569,2139.069200293633,403.5508893577904,415.8743163467476
11897,LPSB3,2022-10-31,0.1531065930868947,0.1833344403516909,0.8181805027642589,557.5416718820852,297.34758589383955,268.05299373350294
13044,TEND3,2022-10-31,0.1571793272154139,0.2666740768884068,0.6875277988045365,4197.994010451679,3314.043533497421,2688.873887215849
33598,DIRR3,2022-10-31,0.1533758555105024,0.4666555565039957,0.7142996848809189,2760.662392024744,3497.948934241466,3613.2592322720993
39750,FRAS3,2022-10-31,0.268796927408843,0.5333257889557268,0.9999999998675684,558.7591552852194,552.4667030918932,258.178737261494
42299,MDNE3,2022-10-31,0.2641782927569945,0.400001986913672,0.7083367746729123,524.0066955826792,276.22953723550046,307.5843902292757
47531,RCSL3,2022-10-31,0.1823428508893139,0.2833336776506764,0.7647081158036688,619.2678501942547,473.56225270870607,313.2284698628493
55551,MBLY3,2022-10-31,0.1860779333495789,0.2333365877621288,0.7857054894482428,1266.458746953624,730.5474126084333,562.0457058550437
61422,COCE5,2022-10-31,0.2675757610082314,0.2915799727799043,0.8854834205397675,44.50724810530602,20.03370572974976,15.488863790532402
74541,TECN3,2022-10-31,0.2816759185306614,0.2833302867082964,0.9411775921203092,903.1925456552556,377.7180109114814,274.8774558324541
86014,PARD3,2022-10-31,0.1665618103696641,0.3500040409330856,0.6666676555398301,871.0383019880427,808.640312325924,716.8458594785623
4029,SEQL3,2022-11-30,0.1890938312326288,0.3666664364959725,0.9090933626071872,2646.02595231884,2270.5707738223628,1890.0535172974935
10940,PDGR3,2022-11-30,0.5018225292115899,0.0333296236759239,1.0,14234.979013766197,231.98338068525777,239.0169041350282
14188,CGAS5,2022-11-30,0.2752023835616129,0.0666667799913013,0.7499998886553452,73.27253028941394,7.890737899386391,4.974423342586499
20040,MELK3,2022-11-30,0.1883379652985501,0.333329499187907,0.8000017084335606,418.93345102602257,292.66632953009406,309.13916327910863
46256,INEP3,2022-11-30,0.2282759999850461,0.3833324316135454,0.7391282455066002,1095.131716900354,827.7183266063016,591.4819065951018
55569,MBLY3,2022-11-30,0.1616223184355042,0.2000005865503713,0.9166696931663286,1358.1897901057123,792.5390087466164,616.5230042599146
58304,CXSE3,2022-11-30,0.2383798377801369,0.4666683907967643,0.714281399656996,3318.723239365579,2441.949275651659,2506.2631394870978
58999,IRBR3,2022-11-30,0.199599692817309,0.3000002190303812,0.7777839877197231,13760.125926576387,8276.73181494906,8276.82631547573
70533,MODL3,2022-11-30,0.3020325654355565,0.3000009077899173,0.9444428987702996,2297.439754367896,1027.7715564686146,564.9801867375254
72062,APER3,2022-11-30,0.3150716463496319,0.2005790567702966,0.9141658559149576,80.55635109308137,16.71387929102071,18.411513812560894
10961,PDGR3,2022-12-29,0.6948403003561366,0.1500076929016104,0.999999996675604,11687.188412116977,423.9163692311817,346.03936300207647
18530,ABCB4,2022-12-29,0.1591515729939563,0.4999957036800014,0.9000029968984109,1495.2293214492704,2228.82800521853,1721.0243151496918
