,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
4018,SEQL3,2022-06-30,0.1939542719951885,0.4333540846260634,1.0,2281.942024974599,2328.5358141013658,1781.1425292688575
57212,AURA33,2022-06-30,0.2163082794312484,0.3166706999855467,0.7894806865039583,3152.433038622341,2038.2703103739227,1578.54113416971
4006,SEQL3,2022-07-29,0.1668135404082147,0.3666695359951977,0.7727390445021058,2280.8117407867094,2111.169453704391,2065.933432604158
57191,AURA33,2022-07-29,0.2280656760810996,0.3333258140181047,0.6999912516156302,3422.9261644748062,2059.777060941636,1801.9973713507525
13136,TEND3,2022-08-31,0.1461901874353638,0.3499996752629862,0.7619069191239627,2447.3929874283267,2728.0913877320945,2274.721632834812
13534,JHSF3,2022-08-31,0.1787919945021004,0.449996008020737,0.7777699184510488,2332.3917647851176,2593.5926684228525,2227.1646109360813
45850,AERI3,2022-08-31,0.2269488055061329,0.416665470638584,0.7199954800986454,2691.019261559252,1865.9858079902112,1953.322101735184
8483,CASH3,2022-09-30,0.2367795209158437,0.0833251966994745,0.7999664095855882,37872.3015003804,4866.3109756490185,5305.632146346639
13913,ANIM3,2022-09-30,0.1570923288284526,0.3333356158951416,0.5999989611299332,3076.5889993023634,3004.2346716572765,2498.470321138705
14987,MYPK3,2022-09-30,0.1494948231410827,0.4333239856530947,0.9615360384815284,2128.1037006453644,2983.8638978506115,2262.4747874837467
18303,DMVF3,2022-09-30,0.1995791900217183,0.2006504264886492,0.6645020026337264,175.40857174512794,75.98946872697003,65.16479954668303
20002,MELK3,2022-09-30,0.1530310368042562,0.2666640200954538,0.6250117859373898,374.25117352879295,270.0398573191565,282.31168152941245
22143,OPCT3,2022-09-30,0.2209666331867199,0.416671502670474,0.760000508786956,867.8076524813092,719.6100570833878,555.2033880409808
31333,VULC3,2022-09-30,0.1738508492690451,0.4166654522018769,0.9599978803507186,1155.9788501752337,1255.5588991703232,1033.3000225369442
33578,DIRR3,2022-09-30,0.1492712624407742,0.4166719572741347,0.8000047194609137,2367.255896474588,3016.410779118578,2605.1172103566287
34084,FHER3,2022-09-30,0.1665145692768643,0.2333290978336782,0.64285337037536,1181.9382675551828,728.4740826504965,651.940283246728
42279,MDNE3,2022-09-30,0.2472645006507605,0.3333294428490693,0.8500039232112153,541.5387446676336,264.3677807066141,285.1526432574259
45231,TFCO4,2022-09-30,0.2111249500468606,0.2499996069947981,0.6666663480942921,720.0497395403524,375.0096565642162,297.61143957899725
45812,AERI3,2022-09-30,0.2335585338360901,0.3666612298036922,0.6363654346256378,3260.0893563563923,1971.1617033058124,1951.4719263863249
