,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
31860,AESB3,2022-06-30,0.1601546355571113,0.3833416871156381,0.4347880553773676,2722.8641774295857,2564.096586241349,2909.488129337969
5100,RAPT4,2022-07-29,0.1467082125295075,0.4500126305893001,0.3333337550294398,1962.4633400216687,2241.239601633094,2895.285277735681
57046,AURA33,2022-08-31,0.2279285627040255,0.4333354524734069,0.3846267288611811,2388.322682743217,1572.2806257703205,1933.429143806322
16526,SHOW3,2022-09-30,0.1986912596706584,0.1999966898314416,0.0833322856266867,646.4670957422921,193.88117741073177,327.54202092126576
19148,TRIS3,2022-09-30,0.1784664526906379,0.3666607822396981,0.0454574432147188,1234.541892996227,874.4939199877667,1209.2243692355596
33005,LUPA3,2022-09-30,0.1774079764768767,0.2000015444008232,0.2500040329639967,1260.6824261331,560.9189740738182,608.1776319033934
48888,ENJU3,2022-09-30,0.3338131736914582,0.3500133264066469,0.0,2218.7682967479072,727.6147224426892,822.2332530083904
51133,PFRM3,2022-09-30,0.1868092961810617,0.5531268614392773,0.0,307.7253075622577,324.6214313595788,416.3165964844078
54801,VIIA3,2022-09-30,0.1984646177799061,0.383341178655838,0.2608913873990433,14535.724063931328,10274.258281227463,12229.846950834755
60888,BLAU3,2022-09-30,0.1748728613459401,0.4000005133832387,0.083335639448877,927.4446127202032,711.5790891064983,1038.8599346339763
68522,POSI3,2022-09-30,0.163917442399452,0.4499977404060955,0.1481545229139545,1951.9254395617277,1992.2091116814645,2487.9924327553103
81411,EVEN3,2022-09-30,0.1731085606360041,0.3999985436683335,0.2499929811634478,1635.3250815518531,1425.2073504358063,1699.3784754365438
85994,PARD3,2022-09-30,0.1879673151860553,0.3000060851688562,0.166667961028859,1105.0730460427262,627.2175845577981,805.0106198028197
16058,AZEV4,2022-10-31,0.1881974719498496,0.37380756056533,0.2675186793732063,179.71047587531604,124.73023037133348,165.04288467830696
33025,LUPA3,2022-10-31,0.1975008757655774,0.3166600522081425,0.1052600513926458,1043.3004138528468,596.0460544606553,746.3423747986503
43223,G2DI33,2022-10-31,0.316326818202284,0.3166689306428742,0.2631631987326661,2049.8547789738395,747.2618625537899,655.6845458474222
46238,INEP3,2022-10-31,0.2574875901891241,0.3500020401264574,0.2857022016934525,1153.9928162335796,515.7277326939791,648.9910923193909
