,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
13468,JHSF3,2022-06-30,0.1651759847408385,0.3000035950020852,0.555551755402946,3373.2175652586548,2446.747104425952,2667.937301165397
31860,AESB3,2022-06-30,0.1601546355571113,0.3833416871156381,0.4347880553773676,2722.8641774295857,2564.096586241349,2909.488129337969
13600,JHSF3,2022-07-29,0.1490827090595659,0.383327102997206,0.3478296536409307,2164.4837873602373,2212.3735547311776,2523.3237662223178
81856,CAML3,2022-07-29,0.1545228796491739,0.2999973407946671,0.3333408916936844,2901.8416534551006,2356.8008107473715,2406.4141573634342
17516,GRND3,2022-08-31,0.1480683485749142,0.3666687455758615,0.3636247118705877,1790.5823940147025,1840.7543652662505,1936.8000041181167
57046,AURA33,2022-08-31,0.2279285627040255,0.4333354524734069,0.3846267288611811,2388.322682743217,1572.2806257703205,1933.429143806322
70929,INTB3,2022-08-31,0.1361072051086053,0.2999988393249985,0.2777718388093421,2609.153269915929,2388.0200572879294,2580.166575153456
10417,ESPA3,2022-09-30,0.1501056205265759,0.350003859012544,0.2857071086831612,2093.4749215906268,1785.1930490571658,2363.4741573816746
16526,SHOW3,2022-09-30,0.1986912596706584,0.1999966898314416,0.0833322856266867,646.4670957422921,193.88117741073177,327.54202092126576
17511,GRND3,2022-09-30,0.166194390685917,0.4166712182782698,0.2800071037694298,1747.983140396329,1716.5415334123686,1937.5480709665087
19148,TRIS3,2022-09-30,0.1784664526906379,0.3666607822396981,0.0454574432147188,1234.541892996227,874.4939199877667,1209.2243692355596
28561,BRPR3,2022-09-30,0.164267593257617,0.4333268394458243,0.307695176210042,1738.4407890247028,1870.518211256317,1962.058367329701
33005,LUPA3,2022-09-30,0.1774079764768767,0.2000015444008232,0.2500040329639967,1260.6824261331,560.9189740738182,608.1776319033934
48888,ENJU3,2022-09-30,0.3338131736914582,0.3500133264066469,0.0,2218.7682967479072,727.6147224426892,822.2332530083904
49616,SHUL4,2022-09-30,0.1523428153135094,0.283316533047753,0.294135934242506,358.3943057929373,271.89303824608726,293.08464040239653
51133,PFRM3,2022-09-30,0.1868092961810617,0.5531268614392773,0.0,307.7253075622577,324.6214313595788,416.3165964844078
53826,STBP3,2022-09-30,0.1885031086959057,0.4166684149302943,0.3599844765291847,3991.034165081639,3244.5525566419087,3914.31569216127
54801,VIIA3,2022-09-30,0.1984646177799061,0.383341178655838,0.2608913873990433,14535.724063931328,10274.258281227463,12229.846950834755
58961,IRBR3,2022-09-30,0.2130778741535137,0.4666540149739696,0.357113983178307,7345.422087700709,5175.4975876196295,7483.670446043536
60888,BLAU3,2022-09-30,0.1748728613459401,0.4000005133832387,0.083335639448877,927.4446127202032,711.5790891064983,1038.8599346339763
63664,POMO4,2022-09-30,0.2872584129222802,0.5500080873424555,0.3333263515705684,2774.000244405552,1753.0288003953026,2032.572860500236
68522,POSI3,2022-09-30,0.163917442399452,0.4499977404060955,0.1481545229139545,1951.9254395617277,1992.2091116814645,2487.9924327553103
69286,LAVV3,2022-09-30,0.1601027359966786,0.3166642068074218,0.3157888248581693,1518.2303107750197,1224.354651795603,1297.755484287812
72024,APER3,2022-09-30,0.2490008898381992,0.2325223922190046,0.2873574730439499,99.71569484243896,30.001675190455277,39.92885574549285
77996,PGMN3,2022-09-30,0.1551803044868363,0.2999990555605859,0.2222230392694351,2175.874555406078,1867.4811147995115,1686.2222340019148
78240,CURY3,2022-09-30,0.1510711031273821,0.4000077462445185,0.1666555037391445,2418.394734939966,2401.8151198223964,3034.260716014476
81411,EVEN3,2022-09-30,0.1731085606360041,0.3999985436683335,0.2499929811634478,1635.3250815518531,1425.2073504358063,1699.3784754365438
84386,MEAL3,2022-09-30,0.1883156065736816,0.3666713006016254,0.272729644821111,1069.475896108033,834.1508555199944,856.0908060319168
85994,PARD3,2022-09-30,0.1879673151860553,0.3000060851688562,0.166667961028859,1105.0730460427262,627.2175845577981,805.0106198028197
88042,TGMA3,2022-09-30,0.1613343888368392,0.4166976146641817,0.0,439.5904605773739,385.58993124032,566.6166109481708
526,TPIS3,2022-10-31,0.2309663078177126,0.2166686811624864,0.3076901903607922,920.2877211842756,305.3197101454408,358.60143803370454
3744,ABEV3,2022-10-31,0.1626560732761271,0.399984371530025,0.3333439388550741,13777.384957194156,13972.15736936561,14396.802108418808
4108,SEQL3,2022-10-31,0.1731151786395246,0.350011194545415,0.3333305656728271,2765.475141889274,2106.786250762494,2516.6147804101283
9702,CMIN3,2022-10-31,0.2264741807207829,0.4833203637489794,0.3103497795584278,3924.246409176449,2902.852597568783,3575.2449061936104
16058,AZEV4,2022-10-31,0.1881974719498496,0.37380756056533,0.2675186793732063,179.71047587531604,124.73023037133348,165.04288467830696
